## Written with SHAMFI (Copyright (c) J. L. B. Line)
## Git describe: 1b81779
## Git date: Thu Jan 30 14:53:15 2020 +0800
## Git branch: master
SOURCE combined_woden P 0 G 5 S 2 7656
COMPONENT SHAPELET 3.399256 -37.277329
SCOEFF 2.0 18.0 0.006395082822
SCOEFF 2.0 19.0 0.000742572967
SCOEFF 2.0 20.0 0.003139452740
SCOEFF 2.0 21.0 -0.001964952788
SCOEFF 2.0 22.0 0.004176719840
SCOEFF 2.0 23.0 0.002071561423
SCOEFF 2.0 24.0 0.006474660655
SCOEFF 2.0 25.0 0.000586561770
SCOEFF 2.0 26.0 0.003202235246
SCOEFF 2.0 27.0 0.001136426721
SCOEFF 2.0 28.0 0.001847698374
SCOEFF 2.0 29.0 0.000045657862
SCOEFF 2.0 30.0 0.000545899389
SCOEFF 2.0 31.0 0.001098073141
SCOEFF 2.0 32.0 0.001402764082
SCOEFF 2.0 33.0 0.000303867570
SCOEFF 2.0 34.0 0.000855185368
SCOEFF 2.0 35.0 0.000175850014
SCOEFF 2.0 36.0 0.001142787012
SCOEFF 2.0 37.0 0.000730129376
SCOEFF 2.0 38.0 0.000991410634
SCOEFF 2.0 39.0 -0.000763655342
SCOEFF 2.0 40.0 0.001339982535
SCOEFF 2.0 41.0 -0.000331932967
SCOEFF 2.0 42.0 0.000036712097
SCOEFF 2.0 43.0 0.000391535675
SCOEFF 2.0 44.0 0.001133912939
SCOEFF 2.0 45.0 -0.000226890450
SCOEFF 2.0 46.0 0.000408311552
SCOEFF 2.0 47.0 -0.000702860375
SCOEFF 2.0 48.0 -0.000017083512
SCOEFF 2.0 49.0 0.000635180196
SCOEFF 2.0 50.0 0.001248212431
SCOEFF 2.0 51.0 -0.000476223652
SCOEFF 2.0 52.0 -0.000360616058
SCOEFF 2.0 53.0 0.000019460266
SCOEFF 2.0 54.0 0.000846283718
SCOEFF 2.0 55.0 0.000513608699
SCOEFF 2.0 56.0 -0.000783726489
SCOEFF 2.0 57.0 -0.001527355268
SCOEFF 2.0 58.0 0.002395219586
SCOEFF 2.0 59.0 0.001165241134
SCOEFF 2.0 60.0 -0.001174892067
SCOEFF 2.0 61.0 -0.000971945039
SCOEFF 2.0 62.0 0.000566228413
SCOEFF 2.0 63.0 -0.000106905479
SCOEFF 2.0 64.0 0.000303777926
SCOEFF 2.0 65.0 0.000191519947
SCOEFF 2.0 66.0 0.001142463047
SCOEFF 2.0 67.0 -0.000227063731
SCOEFF 2.0 68.0 -0.000923618730
SCOEFF 2.0 69.0 -0.000912265130
SCOEFF 2.0 70.0 0.000593285550
SCOEFF 2.0 71.0 0.000243601410
SCOEFF 2.0 72.0 0.000003966282
SCOEFF 2.0 73.0 0.001308288533
SCOEFF 2.0 74.0 0.000001210043
SCOEFF 2.0 75.0 -0.001490346060
SCOEFF 2.0 76.0 -0.001029356919
SCOEFF 2.0 77.0 0.001421437044
SCOEFF 2.0 78.0 0.001484234643
SCOEFF 2.0 79.0 -0.002078554789
SCOEFF 2.0 80.0 -0.000077356183
SCOEFF 2.0 81.0 0.002231518655
SCOEFF 2.0 82.0 -0.000957593570
SCOEFF 2.0 83.0 -0.001728069076
SCOEFF 2.0 84.0 0.001432991344
SCOEFF 3.0 0.0 0.009039195322
SCOEFF 3.0 1.0 0.001401823919
SCOEFF 3.0 2.0 0.004653370937
SCOEFF 3.0 3.0 0.001172051287
SCOEFF 3.0 4.0 0.001228616211
SCOEFF 3.0 5.0 -0.004984893675
SCOEFF 3.0 6.0 0.003429019724
SCOEFF 3.0 7.0 -0.005544888667
SCOEFF 3.0 8.0 0.003148884434
SCOEFF 3.0 9.0 0.001594234085
SCOEFF 3.0 10.0 0.002715694580
SCOEFF 3.0 11.0 0.000460570601
SCOEFF 3.0 12.0 0.003702559564
SCOEFF 3.0 13.0 -0.000210347832
SCOEFF 3.0 14.0 0.003030771766
SCOEFF 3.0 15.0 0.000996573245
SCOEFF 3.0 16.0 0.000425672393
SCOEFF 3.0 17.0 0.002084334012
SCOEFF 3.0 18.0 -0.002152672180
SCOEFF 3.0 19.0 0.003336192344
SCOEFF 3.0 20.0 -0.004324293167
SCOEFF 3.0 21.0 0.000343083624
SCOEFF 3.0 22.0 -0.002161477412
SCOEFF 3.0 23.0 0.000575336176
SCOEFF 3.0 24.0 -0.000234732136
